,title,release_date,popularity,vote_count,vote_average,genres,actor,director,id,recommed_count
2986,스타워즈 에피소드 1: 보이지 않는 위험,1999-05-19,27.027,12692,6.5,모험 액션 SF,"[3896, 3061, 524]",[1],1893,6.642546729361728
2999,소셜 네트워크,2010-10-01,30.141,10432,7.3,드라마,"[44735, 37625, 12111]",[7467],37799,7.2479214750215615
3008,크림슨 피크,2015-10-13,27.178,4437,6.6,공포 스릴러 로맨스 판타지 미스테리,"[76070, 83002, 91606]",[10828],201085,6.837238937805925
3010,디 아더스,2001-08-02,29.771,5457,7.6,공포 미스테리 스릴러,"[2227, 58068, 2040]",[19840],1933,7.395412574051024
3011,맨 프롬 U.N.C.L.E.,2015-08-13,29.174,5500,7.1,코미디 액션 모험,"[73968, 53807, 227454]",[956],203801,7.103360289724986
3015,그렘린,1984-06-07,26.817,5458,7.1,판타지 공포 코미디,"[16170, 16171, 16166]",[4600],927,7.103375393766987
3018,새벽의 황당한 저주,2004-04-09,30.066,7200,7.5,공포 코미디,"[11108, 11109, 11110]",[11090],747,7.362632119732881
3024,미션 임파서블,1996-05-22,29.106,7364,7.0,모험 액션 스릴러,"[500, 10127, 15319]",[1150],954,7.03734574927633
3026,컨테이젼,2011-09-08,23.608,5315,6.6,드라마 스릴러 SF,"[8293, 1892, 2975]",[1884],39538,6.814600552044203
3032,올드보이,2003-11-21,28.901,7065,8.3,드라마 스릴러 미스테리 액션,"[64880, 10112, 1299317]",[10099],670,7.8770559473435044
3036,허트 로커,2008-10-10,36.346,4842,7.3,드라마 스릴러 전쟁,"[17604, 53650, 49271]",[14392],12162,7.214566874353657
3041,첫 키스만 50번째,2004-02-13,32.99,6274,6.8,코미디 로맨스,"[19292, 69597, 60949]",[13426],1824,6.9178483936376685
3054,헬보이,2004-04-02,35.02,6022,6.7,판타지 액션,"[2372, 11826, 17005]",[10828],1487,6.8600665804762535
3055,블랙 호크 다운,2001-12-28,37.769,4793,7.4,액션 역사 전쟁,"[2299, 3061, 8783]",[578],855,7.26930979137674
3060,레드,2010-10-13,30.358,5888,6.7,액션 모험 코미디 범죄 스릴러,"[62, 192, 6949]",[57270],39514,6.862261068074353
3068,브로크백 마운틴,2005-09-10,32.25,5978,7.8,드라마 로맨스,"[1810, 131, 1812]",[1614],142,7.527426974793058
3070,웜 바디스,2013-01-31,27.599,5525,6.4,공포 코미디 로맨스,"[3292, 20374, 124644]",[56661],82654,6.692396098114836
3075,그랜드 부다페스트 호텔,2014-02-26,31.741,12800,8.1,코미디 드라마,"[5469, 1291350, 3490]",[5655],120467,7.869000340366698
3081,조조 래빗,2019-10-18,29.498,7919,8.1,코미디 전쟁 드라마,"[2054851, 1356758, 1245]",[55934],515001,7.773489172330259
3084,언더 워터,2016-06-24,26.03,4558,6.4,공포 드라마 스릴러,"[59175, 59129, 1644278]",[59521],332567,6.725881061032533
3085,아이 엠 넘버 포,2011-02-18,29.573,4121,6.2,액션 스릴러 SF 모험,"[61363, 141687, 20374]",[40256],46529,6.640731819577709
