,title,release_date,popularity,vote_count,vote_average,genres,actor,director,id,recommed_count
4701,스쿠비 두의 유령대탐험 - 유령섬의 저주,1998-09-22,21.466,597,7.7,애니메이션 판타지 미스테리 가족,"[58272, 23679, 30695]",[88623],13151,6.5030629862231635
4702,"Moses, Prince of Egypt",2000-01-01,17.086,4,5.5,,[],[1064855],118365,6.318337112400628
4703,Escape Room: La pel·lícula,2022-03-11,19.989,23,6.0,공포 코미디 스릴러,"[19826, 1090789, 31422]",[1105225],855433,6.317301449792389
4704,남자들의 야마토,2005-12-17,13.858,28,5.3,전쟁 역사,"[58050, 72202, 84028]",[85028],19659,6.311888443341452
4705,인랑,2018-07-25,20.225,230,6.4,SF 액션 스릴러 드라마,"[83014, 240145, 84788]",[69081],467824,6.32369566745346
4706,제럴드의 게임,2017-09-29,20.472,3128,6.4,공포 스릴러,"[17832, 21089, 9976]",[551463],343674,6.355222607248139
4707,Tempus Tormentum,2018-04-17,15.873,30,5.8,공포 스릴러,"[938905, 2026529, 2026530]",[938904],519337,6.315202085607366
4708,아일랜드,2005-07-21,20.865,4695,6.7,액션 스릴러 SF 모험,"[3061, 1245, 938]",[865],1635,6.527541238461537
4709,다운레인지,2018-05-25,17.472,252,5.8,스릴러 공포,"[1570330, 1889418, 1316645]",[45996],469916,6.287561954383385
4710,스파이 서바이버,2015-05-21,22.354,879,5.7,범죄 액션 스릴러,"[517, 63, 32597]",[11266],334074,6.204959363533776
4711,나이팅게일,2018-09-23,17.92,431,7.2,드라마 스릴러,"[1323109, 237455, 1776712]",[164554],400090,6.407118685948215
4712,소셜 딜레마,2020-01-26,18.925,1301,7.5,다큐멘터리 드라마,"[61263, 929905, 52646]",[1074666],656690,6.615352104730759
4713,Return to Jurassic Park,2011-02-05,20.911,747,6.5,다큐멘터리 액션 모험 스릴러,"[488, 4785, 4783]",[936584],503210,6.348333988180109
4714,"El patrón, radiografía de un crimen",2014-10-12,16.862,80,7.8,드라마 범죄,"[1077146, 1028444, 81155]",[1321245],314572,6.3490497648105
4715,화성이변,2021-08-27,22.247,50,6.7,드라마 SF,"[134057, 2439104, 2255175]",[],866408,6.324017115660173
4716,등산의 목적,2016-03-03,17.022,2,3.5,드라마 로맨스,"[1365670, 2628403, 2628404]",[3087273],387808,6.317729261120999
4717,부러진 화살,1950-08-01,21.706,154,6.7,서부,"[854, 50570, 48958]",[76981],37292,6.3336958829798125
4718,스톰프 더 야드 2 : 홈커밍,2010-10-10,17.246,93,5.5,드라마 음악,"[74046, 110742, 110743]",[31123],33473,6.300033015139092
4719,퍼펙트 파트너,2019-07-12,17.666,257,6.0,범죄 코미디 드라마,"[587020, 1186505, 105303]",[77651],509874,6.2993800065745695
4720,모리타니안,2021-02-10,25.18,806,7.5,드라마 스릴러,"[81051, 1038, 71580]",[17350],644583,6.522022883043146
