title,release_date,popularity,vote_count,vote_average,genres,actor,director,id
"나니아 연대기: 사자, 마녀 그리고 옷장",2005-12-07,144.729,8923,7.1,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 10751, 'name': '가족'}]","[5526, 5527, 5528]",[5524],411
아이스 에이지,2002-03-10,201.563,11515,7.3,"[{'id': 12, 'name': '모험'}, {'id': 16, 'name': '애니메이션'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[5723, 5724, 15757]",[5713],425
파이트 클럽,1999-10-15,138.139,25195,8.4,"[{'id': 18, 'name': '드라마'}, {'id': 35, 'name': '코미디'}, {'id': 53, 'name': '스릴러'}]","[287, 819, 1283]",[7467],550
콘스탄틴,2005-02-08,156.526,5940,7.0,"[{'id': 14, 'name': '판타지'}, {'id': 27, 'name': '공포'}, {'id': 28, 'name': '액션'}]","[3293, 6384, 10959]",[10943],561
몬스터 주식회사,2001-11-01,240.059,16115,7.8,"[{'id': 16, 'name': '애니메이션'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[1230, 7904, 7905]",[12890],585
타이타닉,1997-11-18,231.518,21789,7.9,"[{'id': 18, 'name': '드라마'}, {'id': 10749, 'name': '로맨스'}]","[204, 1954, 6193]",[2710],597
오즈의 마법사,1939-08-15,134.812,4696,7.6,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 10751, 'name': '가족'}]","[9066, 9068, 9070]",[9049],630
해리 포터와 마법사의 돌,2001-11-16,436.745,23572,7.9,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}]","[10980, 10989, 10990]",[10965],671
해리 포터와 비밀의 방,2002-11-13,355.829,18944,7.7,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}]","[10980, 10989, 10990]",[10965],672
해리 포터와 아즈카반의 죄수,2004-05-31,291.505,18627,8.0,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}]","[10980, 10989, 10990]",[11218],673
해리 포터와 불의 잔,2005-11-16,331.712,17920,7.8,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 10751, 'name': '가족'}]","[10980, 10989, 10990]",[10723],674
해리 포터와 불사조 기사단,2007-06-28,258.489,16957,7.7,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 9648, 'name': '미스테리'}]","[10980, 10989, 10990]",[11343],675
해리 포터와 혼혈왕자,2009-07-07,348.495,16795,7.7,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}]","[10980, 10989, 10990]",[11343],767
